video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.534184001437082,0.5079945971273302,0.5626411036373664,0.6053559764859568,0.811292668404037,261,2747,13,7655,0.7489082969432315,0.9289998065389824,0.6273024167210973
MVI_20012,0.5656789886741586,0.5474075628962746,0.5856806528135142,0.6524163568773235,0.7992767938937039,863,2093,36,8608,0.7725509821093457,0.836947682298726,0.7173559479553904
MVI_20032,0.5767385644948956,0.5224574259297132,0.6371545752653907,0.5775497887748944,0.7805776805012643,325,375,0,1657,0.7855392156862745,0.7977598008711886,0.7736873868436934
MVI_20033,0.5911022260103032,0.5566463575026288,0.628303509007661,0.6503602578687903,0.8136197072527799,457,1384,3,5274,0.8059453279284897,0.8918794570968483,0.7351156617368222
MVI_20034,0.5676538065514481,0.5691863268424242,0.5666521208867654,0.6373062210589894,0.842333686461877,662,2902,39,9934,0.7321307011572499,0.8387054847933455,0.6495872760217435
MVI_20035,0.677183604028441,0.6522853345815192,0.7033243579400074,0.7390130746520456,0.8458726367979795,1430,1648,16,11855,0.8623361144219309,0.8704133367706454,0.8544074230282581
MVI_20051,0.6522734711049165,0.6412948787721708,0.6638338892481691,0.7179314976494291,0.8587378829102569,923,1566,31,8934,0.8088243831640058,0.8401881558316247,0.7797179314976495
MVI_20052,0.6877135307095467,0.6594185531035072,0.7179142101634199,0.7436296207680344,0.8481272191496919,923,1171,49,8359,0.8454159077109897,0.8583405252126741,0.8328747457829884
MVI_20061,0.5569369487520832,0.5416890069326784,0.5734516538129442,0.6225151253241141,0.8382084735144377,554,2904,36,9256,0.7012745947283752,0.8205907906168549,0.6122515125324114
MVI_20062,0.5857388816612028,0.5155293154911075,0.6664260048810892,0.4031824294038548,0.8474297630657011,2092,547,24,4462,0.703219027605311,0.6127850840685867,0.8249663827879874
MVI_20063,0.539555444859357,0.5123197190114963,0.5690998223241426,0.5815081351689612,0.8209268082343609,530,2124,21,6392,0.7151027703306524,0.8338891204668611,0.6259386733416771
MVI_20064,0.43752831134634107,0.4150597957630436,0.4618339669793343,0.4797659334461365,0.8390971823841433,272,7077,30,14184,0.6121597180355238,0.8944301395853097,0.4653130287648054
MVI_20065,0.6219074926847588,0.60034431909653,0.6457398419599885,0.6970739100023315,0.8399066450285203,1120,4042,35,17156,0.8152914941064033,0.8989742869186454,0.7458615061785964
MVI_39761,0.6787987938765603,0.6431718224728773,0.7172230638685878,0.7552447552447552,0.816055629544661,519,385,6,3718,0.8782034346103038,0.8629283489096573,0.8940290478752018
MVI_39771,0.5067110018813171,0.46936937686215385,0.5508122563858506,0.5353675450762829,0.7849206082299818,422,1241,12,3605,0.7056798623063684,0.8094041636755205,0.6255201109570042
MVI_39781,0.5507175459237077,0.5398278708768544,0.563935851600458,0.5192886099123839,0.8312786456580792,1932,1679,65,7647,0.6720267575738085,0.6612658227848102,0.6831437164901268
MVI_39801,0.46717784734603557,0.4180480577695363,0.5265516035224085,0.4939212858025963,0.7908371570654588,209,2208,39,4853,0.633969118982743,0.8559915907498248,0.5033999587883783
MVI_39811,0.5537968705893449,0.4792376997951518,0.6412494808550321,0.4540901502504174,0.8211346312217207,189,135,3,599,0.7188498402555911,0.6891271056661562,0.7512520868113522
MVI_39821,0.5082411928684092,0.4760654185424464,0.545222848571952,0.4896305125148987,0.8194825667011626,760,1358,23,4195,0.6681211498973306,0.7236586043925494,0.6205005959475566
MVI_39851,0.5118581340508763,0.475871401246716,0.551744371309176,0.5388216933281311,0.838652907659328,223,2119,22,5126,0.6948300622307324,0.8987616099071207,0.5663285212641436
MVI_39861,0.4477071898557756,0.41166054064406193,0.4881283513453812,0.48329156223893066,0.8287625125643249,44,1185,8,2394,0.6427200438716754,0.9353551476456504,0.48955722639933164
MVI_39931,0.5944708482759138,0.4959747263342987,0.716520001657765,0.4009157975069957,0.8361257371929002,1593,754,8,3931,0.7146305022411217,0.6517819706498952,0.7908929025693208
MVI_40131,0.6591988418715361,0.6762194292674409,0.644023882090386,0.7824980422866092,0.8302341704708301,1323,1958,52,15324,0.8043181288108486,0.8217033154060862,0.7876533542156094
MVI_40141,0.6424212141048571,0.619324036985723,0.6698859188870084,0.7872066859530698,0.7850660997823202,579,729,16,6222,0.8487066861883846,0.8591897233201581,0.8384763741562199
MVI_40152,0.5131385629591578,0.49498934368373726,0.5354661025200415,0.48075552387740556,0.7672537749177204,1391,1497,26,5612,0.6805180787911494,0.6870686523792227,0.6740912330719886
MVI_40161,0.6885041761929025,0.6571093169778934,0.7242459426503028,0.7560754716981132,0.8382223609382318,914,689,13,6625,0.8633766233766234,0.8491970802919708,0.8780377358490566
MVI_40162,0.679873626852521,0.6617594908949228,0.700078590264819,0.7437172542402983,0.8482765580018983,1301,1536,49,11261,0.8307084847669045,0.8395610375476147,0.8220406713435752
MVI_40171,0.4871305324423197,0.3972630872054703,0.5996690598053664,0.3984094982078853,0.8109918068076206,891,4425,55,8928,0.5701717637201508,0.756952169076752,0.4573252688172043
MVI_40172,0.43648967069439687,0.3937912490315845,0.4839811847942159,0.42905964061294233,0.8382863198432617,797,9501,60,18142,0.4825235678027556,0.7050222504767959,0.3667732333811046
MVI_40181,0.6084126323365507,0.6239569995651465,0.5943415708777376,0.7313307130825379,0.8221039754668662,966,917,31,7124,0.7481289781072953,0.7455736790743064,0.7507018528916339
MVI_40191,0.694214786233212,0.6875563206926182,0.702436575400528,0.8138329730996589,0.8178491148812056,2388,4693,68,38401,0.8942641985583312,0.9228169326241135,0.8674253274654306
MVI_40192,0.6811091454652424,0.6727035471270343,0.6912536647944394,0.8131142887556329,0.7937753674808191,2941,2242,84,28183,0.8956803644966267,0.8848417699605291,0.9067877798672959
MVI_40201,0.6770831569676886,0.6467104196280843,0.7115202967941683,0.7579862700228833,0.8204294507472847,891,1706,47,10925,0.8562871404801521,0.8908011869436202,0.8243478260869566
MVI_40204,0.6237242327981761,0.590730126950445,0.6606142836188426,0.7099607633315499,0.8167177923208196,977,5458,70,22428,0.8165448916408669,0.9184821975817685,0.7349741394685215
MVI_40211,0.5695189667496395,0.5308689318804464,0.6144618714486434,0.6095473012188044,0.7690541903889312,757,1880,54,6892,0.7735565911065476,0.8488472872248223,0.7105339524085896
MVI_40212,0.5679635122773764,0.5301774457920556,0.6128214523095238,0.5889072217286457,0.769548224181429,839,2338,62,7879,0.7555929588330177,0.8443573667711599,0.6837162076405635
MVI_40213,0.5347516019904064,0.48882673867878673,0.5897725610178532,0.5519345624513113,0.7539892562091678,801,2590,60,7702,0.7212633125229526,0.8303737527481819,0.6374967540898467
MVI_40241,0.6380583344716423,0.6292601142564408,0.649065637623072,0.7226308146343748,0.8037996369879494,1891,3920,110,21347,0.8364441165621542,0.8803706387824827,0.7966927437110601
MVI_40243,0.6500533469226942,0.639201597303372,0.663680956649948,0.7450701554797118,0.804175977561748,1142,1497,50,10548,0.8541536087941758,0.8690277641518689,0.8397800530906333
MVI_40244,0.6343593707951182,0.626953618523959,0.6438869516483343,0.7296561116785836,0.7930082018593566,940,1399,43,8811,0.8443745265979141,0.8675766283524904,0.822381114515946
MVI_40732,0.6558729313174494,0.666346039464111,0.6468716307817302,0.7699791521890201,0.8221480326493332,1768,834,46,11512,0.7823691460055097,0.7530130162301141,0.8141070187630299
MVI_40751,0.6123735747500796,0.595862819705927,0.6420609876786981,0.7215001353912808,0.7916586869166105,816,1220,21,7386,0.7241091314031181,0.7450587224291034,0.7043054427294883
MVI_40752,0.5392934400143117,0.46311842926242386,0.6294767444152749,0.5119867078091621,0.824148028675172,909,7251,64,16852,0.6774358599517579,0.8818268315889629,0.5499643959173985
MVI_40871,0.6641671948720885,0.5829698795409799,0.766325769440041,0.6650102389078498,0.8535612662450287,1295,10927,47,36625,0.7496306076896476,0.8833771718593709,0.6510580204778157
MVI_40962,0.6581960904227607,0.6468091860114507,0.671301590924501,0.7187335092348285,0.809111424706722,751,1363,18,7580,0.8475391806433874,0.8847588978185993,0.8133245382585752
MVI_40963,0.5575896247159596,0.5296707531706232,0.5910070040109378,0.6735114700575651,0.7404221692726872,709,3056,35,11639,0.8095169843772395,0.9117520447696944,0.7278975857032391
MVI_40981,0.6254157558774591,0.6101949167168509,0.6444292036747908,0.792443714368538,0.7422721799778443,855,1251,42,10349,0.8781400847207171,0.895609364010851,0.8613392598318678
MVI_40991,0.29993437761121694,0.3914747183012734,0.23176637679162984,0.46921017402945114,0.7255968788719894,317,2020,42,4482,0.4200523343892026,0.5487585462396546,0.3402498884426595
MVI_40992,0.31203923020488555,0.39829998689423934,0.2467536536882918,0.3964836033188463,0.7474771351196694,655,2343,57,5062,0.4016121384542437,0.5020746887966805,0.3346503358356381
MVI_41063,0.5897254157198663,0.5425757727183659,0.643866817985524,0.6198248407643312,0.8029650526900476,683,3089,48,10048,0.7612210288298473,0.8810520806071709,0.6700835987261147
MVI_41073,0.6505013038778583,0.617839637195139,0.6879146636735228,0.7263720252549781,0.7926088976335127,892,1880,45,10295,0.8408325681052954,0.8854625550660793,0.8004856726566294
MVI_63521,0.6917113100755108,0.6802699440246518,0.704279244683754,0.7963282078472959,0.8521512389269705,433,2615,25,15088,0.8821175966278488,0.9566868123353479,0.8183324496288441
MVI_63525,0.7678607329057222,0.7321206355200812,0.8108821226943421,0.8651296829971181,0.8495323392588656,113,347,8,3470,0.9132120489114226,0.946229913473424,0.882420749279539
MVI_63544,0.49629254191720906,0.4458601555741777,0.5535816828362208,0.44982170147733064,0.7912554772791071,422,641,17,1963,0.6684650660911788,0.7104357798165137,0.6311767702496179
MVI_63552,0.5328396901715065,0.48210050435963675,0.5943916350128385,0.520596091663152,0.7531696901387065,998,2384,28,7113,0.7249221183800623,0.8126418718351668,0.6542949529031351
MVI_63553,0.5424729271472725,0.48945530419779315,0.6056023337058714,0.5889559164733179,0.7558920692769566,745,3638,46,10775,0.7377391863643673,0.8731286475513829,0.6387006960556845
MVI_63554,0.5841860501061393,0.5313798450963291,0.6445416825611584,0.6264852239260689,0.7855920005280315,678,2950,50,9847,0.7724715876478017,0.8883168316831683,0.6833553366507565
MVI_63561,0.5532980372211231,0.48433604613577425,0.6351017704252364,0.5303478526981537,0.7936328365611984,1093,3450,61,9803,0.714128355266972,0.8271555197421434,0.6282770580434561
MVI_63562,0.5956535398080048,0.5433313643905223,0.6564292063239556,0.6302395209580839,0.7949402201416997,553,1884,33,6680,0.7784520741541275,0.8753037951018882,0.7008982035928144
MVI_63563,0.5864622683660062,0.5160258030911977,0.6703259548537501,0.6004809703053116,0.7982860590404934,615,3157,49,9564,0.7552152417701676,0.891911136428368,0.6548515265579256
